"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Mike Trout","","333","656","808","198","120","38","5","35","113","99","143","11","165","4","5","0","11","15","8",".302","17.7 %","20.4 %",".427",".535",".962",".233",".354",".412","62.8","154","169","10155"
"Justin Upton","","318","642","746","170","91","34","1","44","100","117","97","8","199","4","1","0","8","7","4",".265","13.0 %","26.7 %",".364",".526",".891",".262",".315",".380","38.5","124","142","5222"
"Ian Kinsler","","321","736","806","218","139","49","9","21","121","84","61","1","86","4","3","2","17","15","7",".296","7.6 %","10.7 %",".352",".473",".825",".177",".312",".356","26.9","118","123","6195"
"Jabari Blash","","46","86","99","22","13","5","0","4","12","8","12","0","33","1","0","0","1","0","0",".256","12.1 %","33.3 %",".354",".453",".807",".198",".367",".349","2.4","14","118","11247"
"Zack Cozart","","263","508","562","137","83","28","4","22","59","61","42","4","84","3","6","3","9","1","1",".270","7.5 %","14.9 %",".326",".470",".796",".201",".282",".339","11.2","75","110","2616"
"Chris Young","","293","548","642","136","76","38","3","19","62","64","81","5","121","5","7","1","11","2","1",".248","12.6 %","18.8 %",".346",".432",".779",".184",".282",".338","12.0","85","113","3882"
"Jefry Marte","","87","181","203","42","22","10","0","10","23","32","19","0","41","2","1","0","5","0","1",".232","9.4 %","20.2 %",".310",".453",".763",".221",".244",".328","1.5","25","107","5107"
"Albert Pujols","","301","681","738","166","102","32","0","32","78","101","52","13","81","1","4","0","26","1","0",".244","7.0 %","11.0 %",".297",".432",".728",".188",".234",".309","-4.0","80","97","1177"
"Rene Rivera","","166","302","329","73","42","20","0","11","22","39","24","4","87","1","1","1","5","0","0",".242","7.3 %","26.4 %",".299",".417",".716",".175",".302",".307","-1.8","35","95","3648"
"Andrelton Simmons","","300","590","658","143","103","22","5","13","55","59","62","2","55","1","4","1","27","11","1",".242","9.4 %","8.4 %",".314",".363",".676",".120",".247",".299","-9.1","66","88","10847"
"Martin Maldonado","","190","314","352","71","46","16","1","8","27","35","27","4","110","6","1","4","9","0","1",".226","7.7 %","31.3 %",".299",".360",".659",".134",".320",".287","-8.5","32","76","6887"
"Carlos Perez","","65","122","134","23","19","3","0","1","6","8","9","0","19","0","1","2","5","0","0",".189","6.7 %","14.2 %",".242",".238",".480",".049",".214",".217","-10.6","5","34","10642"
