"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Carlos Correa","","346","1022","1154","294","178","65","4","47","91","176","117","7","240","8","7","0","25","10","3",".288","10.1 %","20.8 %",".363",".497",".860",".209",".333",".366","46.0","182","134","14162"
"Yulieski Gurriel","","164","471","500","146","90","39","0","17","42","66","17","1","51","7","5","0","12","0","1",".310","3.4 %","10.2 %",".340",".501",".841",".191",".316",".355","14.4","75","125","19198"
"Jose Altuve","","740","2334","2543","739","530","145","13","51","215","269","150","21","248","24","28","7","64","94","16",".317","5.9 %","9.8 %",".360",".455",".815",".139",".333",".350","73.5","363","124","5417"
"George Springer","","458","1367","1549","358","225","61","6","66","174","184","154","3","387","19","7","1","25","14","12",".262","9.9 %","25.0 %",".343",".460",".803",".198",".317",".347","38.3","219","122","12856"
"Alex Bregman","","192","559","619","150","87","39","6","18","65","79","48","0","114","6","6","0","14","7","0",".268","7.8 %","18.4 %",".330",".456",".786",".188",".305",".335","7.5","82","112","17678"
"Evan Gattis","","528","1429","1559","351","197","63","8","83","128","232","98","6","362","21","11","0","39","0","0",".246","6.3 %","23.2 %",".301",".475",".777",".230",".269",".332","21.6","198","112","11003"
"Tyler White","","86","214","237","47","27","16","0","4","11","21","19","0","55","2","2","0","6","0","0",".220","8.0 %","23.2 %",".287",".350",".637",".131",".274",".279","-7.8","20","74","15564"
"Jake Marisnick","","343","760","827","170","119","28","3","20","79","74","38","2","246","13","6","10","10","30","7",".224","4.6 %","29.7 %",".271",".347",".618",".124",".300",".270","-30.0","64","69","11339"
"Gerrit Cole","","106","182","210","29","26","1","0","2","9","9","4","0","73","0","0","24","3","0","0",".159","1.9 %","34.8 %",".177",".198",".375",".038",".252",".167","-25.2","-1","-2","13125"
"Charlie Morton","","52","89","104","6","6","0","0","0","1","3","2","0","38","0","0","13","2","0","0",".067","1.9 %","36.5 %",".088",".067",".155",".000",".118",".074","-19.7","-8","-66","4676"
